trajectory_Id,half,total_active_time,total_inactive_time
243,second,0.0,19.417
244,first,9.722,5.279
244,second,0.0,15.798
245,first,12.573,50.758
245,second,9.741,52.866
246,first,11.998000000000001,20.884
246,second,14.453,15.308
247,first,9.957,6.394
247,second,0.0,17.662
248,first,8.762,0.0
248,second,1.574,7.398
249,first,23.641000000000002,30.075
249,second,23.344,27.128
250,first,24.36,40.593
250,second,9.893,60.016000000000005
251,first,22.144000000000002,11.254000000000001
251,second,0.0,34.58
252,first,10.363000000000001,13.058
252,second,0.0,24.728
253,first,29.729,24.365000000000002
253,second,9.977,44.961
254,first,22.381,79.24000000000001
254,second,35.705,60.205000000000005
255,first,10.149000000000001,28.626
255,second,0.0,39.480000000000004
256,first,32.293,0.0
256,second,23.488,5.5920000000000005
257,first,14.559000000000001,4.587
257,second,18.719,1.258
258,first,30.39,19.271
258,second,38.607,7.252000000000001
259,first,26.243000000000002,1.079
259,second,22.416,5.503
260,first,47.931000000000004,5.581
260,second,27.957,32.633
261,first,33.179,11.171000000000001
261,second,40.07,4.175
262,first,19.59,1.59
262,second,14.523,10.081
263,first,42.379,1.373
263,second,39.594,7.962
264,first,56.347,2.8609999999999998
264,second,38.405,22.226
265,first,20.088,13.941
265,second,20.256,12.200000000000001
266,first,77.624,24.332
266,second,69.199,33.092
267,first,21.844,2.808
267,second,20.179000000000002,5.205
268,first,69.031,7.472
268,second,65.452,6.989
269,first,29.645,21.462
269,second,27.281000000000002,23.519000000000002
270,first,28.646,19.073
270,second,36.144,7.502000000000001
271,first,51.173,3.8200000000000003
271,second,35.49,21.904
272,first,40.772,2.925
272,second,29.527,13.392000000000001
273,first,18.947,1.965
273,second,0.0,23.268
274,first,0.725,0.0
274,second,1.676,0.0
275,first,10.195,35.012
275,second,0.0,46.274
276,first,10.144,9.167
276,second,0.0,19.943
277,first,10.083,41.578
277,second,10.015,39.695
278,first,10.197000000000001,2.259
278,second,0.0,13.796000000000001
280,first,9.794,21.145
280,second,9.757,18.988
281,first,20.231,18.091
281,second,7.351,32.614000000000004
282,first,10.287,20.267
282,second,11.733,16.113
