,participant,scenario,taskId,planning_distance,navigating_distance,numScreenLockEvents
497,34,4,3,24.4,50.74,1
498,34,4,4,28.37,6.32,0
500,35,1,1,0.05,203.07,5
501,35,1,2,0.41,218.38,6
502,35,1,3,0,80.8,1
503,35,1,4,0.04,25.9,1
505,35,2,1,0,283.04,6
506,35,2,2,1.95,146.02,4
507,35,2,3,26.29,59.99,1
508,35,2,4,6.44,36.95,1
510,35,3,1,0.52,191.74,4
511,35,3,2,5.64,53.11,1
512,35,3,3,1.29,219.14,6
513,35,3,4,0,96.27,3
515,35,4,1,0,60.22,1
516,35,4,2,0.14,181.3,3
517,35,4,3,0,158.55,6
518,35,4,4,0,238.82,8
520,36,1,1,0,66.74,2
521,36,1,2,0,245.2,3
522,36,1,3,0,113.03,2
523,36,1,4,0,187.22,4
525,36,2,1,0.07,237.25,2
526,36,2,2,0.14,79.15,2
527,36,2,3,0.1,142.67,2
528,36,2,4,0.14,122.06,1
530,36,3,1,0.02,145.14,3
531,36,3,2,0.22,100.26,1
532,36,3,3,0,76.05,1
533,36,3,4,0.55,166.81,5
535,36,4,1,4.1,206.59,5
536,36,4,2,0.64,273.85,8
537,36,4,3,1.27,208.46,5
538,36,4,4,8.11,162.14,4
540,37,1,1,0,81.84,2
541,37,1,2,0.56,255.16,6
542,37,1,3,0,532.06,10
543,37,1,4,0,410.35,7
545,37,2,1,0.02,272.99,4
546,37,2,2,0.99,463.93,9
547,37,2,3,0,138.42,2
548,37,2,4,0.14,293.47,7
550,37,3,1,0.13,470.04,9
551,37,3,2,0.25,144.24,2
552,37,3,3,0.09,195.08,11
553,37,3,4,0,56.01,2
555,37,4,1,23.95,42.89,1
556,37,4,2,0,228.43,6
557,37,4,3,0,312.43,7
558,37,4,4,0,126.35,4
560,38,1,1,0.11,256.8,10
561,38,1,2,0,309.35,11
562,38,1,3,3.52,127.28,4
563,38,1,4,0,330.46,10
565,38,2,1,0.61,434.71,13
566,38,2,2,0,377.07,13
567,38,2,3,0,121.22,5
568,38,2,4,0,35.58,1
570,38,3,1,0,253.74,9
571,38,3,2,3.02,94.49,6
572,38,3,3,3.46,231.04,12
573,38,3,4,0,587.41,29
575,38,4,1,0,128.93,7
576,38,4,2,0,86.94,7
577,38,4,3,0.57,459.43,22
578,38,4,4,0,333.22,13
580,39,1,1,0.03,64.87,1
581,39,1,2,0,223.48,5
582,39,1,3,0,126.52,1
583,39,1,4,0,182.09,3
585,39,2,1,0.14,236.32,3
586,39,2,2,0.05,83.69,2
587,39,2,3,0.03,153.46,3
588,39,2,4,0.08,243.25,3
590,39,3,1,1.4,158.66,4
591,39,3,2,0,164.68,6
592,39,3,3,0.28,172.98,3
593,39,3,4,0.16,180.12,4
595,39,4,1,1.07,161.31,5
596,39,4,2,0.04,275.52,5
597,39,4,3,0.09,367.56,3
598,39,4,4,0,171.54,3
600,40,1,1,0,115.8,3
601,40,1,2,1.23,129.59,4
602,40,1,3,0.87,272.27,2
603,40,1,4,10.96,186.18,5
605,40,2,1,0,230.89,4
606,40,2,2,0,122.84,2
607,40,2,3,0,225.44,4
608,40,2,4,0.56,145.35,1
610,40,3,1,0.69,173.58,4
611,40,3,2,0.56,162.2,2
612,40,3,3,0.47,90.5,2
613,40,3,4,9.15,95.18,3
