,participant,scenario,planning_time,navigation_time,planning_distance,navigating_distance,planning_stop,navigation_stop,planning_stop_time_seconds,navigation_stop_time_seconds,planning_speed,navigating_speed
150,47,3,72.223,276.272,3.73,600.12,12,24,62.18,21.86,0.05,2.17
151,47,4,24.004,209.98,1.9,489.01,8,15,7.34,3.06,0.08,2.33
152,48,1,49.688,287.344,0.09,772.98,6,8,35.35,20.46,0,2.69
153,48,2,60.509,454.896,0.15,1125.06,14,10,48.59,16.46,0,2.47
154,48,3,47.026,272.954,1.14,614.72,5,18,44.55,25.01,0.02,2.25
155,48,4,35.073,289.951,3.68,650.27,8,16,31.54,14.68,0.1,2.24
156,49,1,77.755,297.784,0.76,667.06,6,14,66.37,23.22,0.01,2.24
157,49,2,28.811,342.701,0,695.08,4,19,28.81,62.64,0,2.03
158,49,3,46.803,357.671,0.75,692.38,8,26,41.79,46.3,0.02,1.94
159,49,4,121.542,181.978,230.04,421.29,8,11,7.8,2.13,1.89,2.32
160,50,1,24.756,294.993,0.31,699.1,5,12,23.49,26.63,0.01,2.37
161,50,2,63.173,377.151,0.72,849.09,10,11,49.44,22.88,0.01,2.25
162,50,3,51.571,286.736,2.92,586.27,5,13,43.87,17.03,0.06,2.04
163,50,4,62.713,201.98,75.02,412.73,10,12,2.59,4.06,1.2,2.04
164,51,1,39.962,291.78,1.5,771.7,9,12,15.77,2.39,0.04,2.64
165,51,2,107.28,505.36,3.82,1287.39,11,15,46.03,16.29,0.04,2.55
166,51,3,66.387,690.918,3.71,1169.53,8,53,57.7,75.23,0.06,1.69
167,51,4,54.266,303.116,2.07,558.74,10,20,47.39,32.96,0.04,1.84
168,52,1,79.153,334.779,1.67,774.5,4,13,55.46,61.04,0.02,2.31
169,52,2,62.524,316.454,2.23,841.48,14,10,2.58,0,0.04,2.66
170,52,3,49.142,233.496,1.94,512.07,5,12,37.75,21.34,0.04,2.19
171,52,4,71.219,428.416,3.62,880.28,15,20,38.54,30.96,0.05,2.05
172,53,1,37.486,372.45,0,639.95,5,37,37.51,68.46,0,1.72
173,53,2,43.383,325.509,0.75,720.23,8,18,33.28,23.23,0.02,2.21
174,53,3,31.129,382.572,0.96,483,10,29,1.24,14.12,0.03,1.26
175,53,4,25.473,370.034,1.11,534.55,6,50,23.66,60.45,0.04,1.44
176,54,1,60.834,237.381,13.82,543.32,11,9,25.21,1.86,0.23,2.29
177,54,2,66.483,327.462,2.8,627.04,6,30,64.77,65.24,0.04,1.91
178,54,3,38.998,381.211,2.7,648.14,8,25,19.75,36.43,0.07,1.7
179,54,4,37.35,281.929,16.04,608.52,8,18,28.74,24.06,0.43,2.16
180,55,1,40.101,278.999,0.02,568.09,7,21,37.43,34.29,0,2.04
181,55,2,42.785,350.416,0.23,817.36,9,12,2.07,0.16,0.01,2.33
182,55,3,98.173,328.067,2,499.88,10,35,91.9,70.77,0.02,1.52
183,55,4,68.072,573.5,16.64,1088.69,15,26,31.54,18.38,0.24,1.9
184,56,1,49.888,296.995,0.56,622.5,6,17,47.84,33.25,0.01,2.1
185,56,2,25.443,233.842,0,591.82,4,9,25.44,18.48,0,2.53
186,56,3,34.707,238.636,1.06,505.14,8,10,8.34,2.33,0.03,2.12
187,56,4,48.258,235.165,1.91,525.45,5,10,31.68,9.05,0.04,2.23
188,57,1,73.306,301.728,5.18,784.68,7,13,17.24,4.57,0.07,2.6
189,57,2,42.454,277.98,4.54,625.04,6,20,39.36,27.46,0.11,2.25
190,57,3,21.826,346.772,0.51,664.15,6,22,20.26,27.33,0.02,1.92
191,57,4,26.847,636.138,3.88,1236,7,38,17.12,34.54,0.14,1.94
192,58,1,16.317,263.384,1.43,591.4,4,15,13.61,31.43,0.09,2.25
193,58,2,19.183,226.76,12.72,608.23,7,9,0,0.08,0.66,2.68
194,58,3,30.746,255.2,3.64,558.28,7,12,13.33,10.63,0.12,2.19
195,58,4,31.213,361.109,9.38,832.22,9,11,11.77,9.78,0.3,2.3
196,59,1,46.238,336.62,12.92,724.51,4,20,24.68,39.34,0.28,2.15
197,59,2,37.177,299.084,0.53,657.25,4,14,36.56,6.28,0.01,2.2
198,59,3,71.617,535.109,4.74,999.66,24,35,24.49,3.24,0.07,1.87
199,59,4,34.16,358.942,7.78,640.58,12,38,21.41,21.28,0.23,1.78
200,60,1,212.107,182.927,390.39,381.2,8,17,68.32,27.95,1.84,2.08
201,60,2,27.606,355.605,2.02,944.27,4,10,21.32,17.3,0.07,2.66
202,60,3,197.085,136.722,253.2,292.41,23,9,68.95,18.13,1.28,2.14
203,60,4,84.363,712.189,6.97,1467.82,18,29,0.15,39.7,0.08,2.06
204,61,1,62.403,280.044,0,765.82,4,13,62.4,6.19,0,2.73
205,61,2,32.972,327.307,1.19,812.15,4,13,4.15,2.2,0.04,2.48
206,61,3,51.561,271.475,1.43,639.9,6,15,48.57,17.69,0.03,2.36
207,61,4,31.707,339.287,2.38,803.75,9,13,24.99,8.64,0.08,2.37
208,62,1,57.509,315.684,0,610.93,4,16,57.51,30.44,0,1.94
209,62,2,109.986,340.479,23.94,716.02,7,13,14.96,6.95,0.22,2.1
210,62,3,121.697,460.799,13.41,1037.27,23,27,28.62,24.01,0.11,2.25
211,62,4,47.198,610.933,6.37,1121.58,13,37,16.99,31.84,0.13,1.84
212,63,1,46.558,293.891,0.14,681.95,10,14,35.04,22.56,0,2.32
213,63,2,78.596,303.629,0,624.1,4,46,78.6,38.72,0,2.06
214,63,3,50.967,289.221,11.46,602.32,5,29,32.07,19.76,0.22,2.08
215,63,4,43.642,287.39,5.45,631.03,7,16,9.42,5.71,0.12,2.2
