,Unnamed: 0,participant,scenario,planning_time,navigation_time,planning_distance,navigating_distance,planning_stop,navigation_stop,planning_stop_time_seconds,navigation_stop_time_seconds,interaction_count,frequency_distance,frequency_time
156,156,49,1,77.755,297.784,0.76,667.06,6,14,66.37,23.22,633,0.95,1.69
157,157,49,2,28.811,342.701,0.0,695.08,4,19,28.81,62.64,707,1.02,1.9
158,158,49,3,46.803,357.671,0.75,692.38,8,26,41.79,46.3,731,1.05,1.81
159,159,49,4,121.542,181.978,230.04,421.29,8,11,7.8,2.13,384,0.59,1.27
160,160,50,1,24.756,294.993,0.31,699.1,5,12,23.49,26.63,626,0.9,1.96
161,161,50,2,63.173,377.151,0.72,849.09,10,11,49.44,22.88,795,0.94,1.81
162,162,50,3,51.571,286.736,2.92,586.27,5,13,43.87,17.03,585,0.99,1.73
163,163,50,4,62.713,201.98,75.02,412.73,10,12,2.59,4.06,417,0.85,1.58
164,164,51,1,39.962,291.78,1.5,771.7,9,12,15.77,2.39,608,0.79,1.83
165,165,51,2,107.28,505.36,3.82,1287.39,11,15,46.03,16.29,1055,0.82,1.72
166,166,51,3,66.387,690.918,3.71,1169.53,8,53,57.7,75.23,1419,1.21,1.87
167,167,51,4,54.266,303.116,2.07,558.74,10,20,47.39,32.96,618,1.1,1.73
168,168,52,1,79.153,334.779,1.67,774.5,4,13,55.46,61.04,748,0.96,1.81
169,169,52,2,62.524,316.454,2.23,841.48,14,10,2.58,0.0,659,0.78,1.74
170,170,52,3,49.142,233.496,1.94,512.07,5,12,37.75,21.34,487,0.95,1.72
171,171,52,4,71.219,428.416,3.62,880.28,15,20,38.54,30.96,916,1.04,1.83
172,172,53,1,37.486,372.45,0.0,639.95,5,37,37.51,68.46,889,1.39,2.17
173,173,53,2,43.383,325.509,0.75,720.23,8,18,33.28,23.23,757,1.05,2.05
174,174,53,3,31.129,382.572,0.96,483.0,10,29,1.24,14.12,813,1.68,1.97
175,175,53,4,25.473,370.034,1.11,534.55,6,50,23.66,60.45,825,1.54,2.09
176,176,54,1,60.834,237.381,13.82,543.32,11,9,25.21,1.86,511,0.92,1.71
177,177,54,2,66.483,327.462,2.8,627.04,6,30,64.77,65.24,748,1.19,1.9
178,178,54,3,38.998,381.211,2.7,648.14,8,25,19.75,36.43,804,1.24,1.91
179,179,54,4,37.35,281.929,16.04,608.52,8,18,28.74,24.06,599,0.96,1.88
180,180,55,1,40.101,278.999,0.02,568.09,7,21,37.43,34.29,618,1.09,1.94
181,181,55,2,42.785,350.416,0.23,817.36,9,12,2.07,0.16,768,0.94,1.95
182,182,55,3,98.173,328.067,2.0,499.88,10,35,91.9,70.77,697,1.39,1.64
183,183,55,4,68.072,573.5,16.64,1088.69,15,26,31.54,18.38,1199,1.08,1.87
184,184,56,1,49.888,296.995,0.56,622.5,6,17,47.84,33.25,624,1.0,1.8
185,185,56,2,25.443,233.842,0.0,591.82,4,9,25.44,18.48,488,0.82,1.88
186,186,56,3,34.707,238.636,1.06,505.14,8,10,8.34,2.33,493,0.97,1.8
187,187,56,4,48.258,235.165,1.91,525.45,5,10,31.68,9.05,484,0.92,1.71
188,188,57,1,73.306,301.728,5.18,784.68,7,13,17.24,4.57,713,0.9,1.9
189,189,57,2,42.454,277.98,4.54,625.04,6,20,39.36,27.46,646,1.03,2.02
190,190,57,3,21.826,346.772,0.51,664.15,6,22,20.26,27.33,740,1.11,2.01
191,191,57,4,26.847,636.138,3.88,1236.0,7,38,17.12,34.54,1374,1.11,2.07
192,192,58,1,16.317,263.384,1.43,591.4,4,15,13.61,31.43,561,0.95,2.01
193,193,58,2,19.183,226.76,12.72,608.23,7,9,0.0,0.08,489,0.79,1.99
194,194,58,3,30.746,255.2,3.64,558.28,7,12,13.33,10.63,535,0.95,1.87
195,195,58,4,31.213,361.109,9.38,832.22,9,11,11.77,9.78,729,0.87,1.86
196,196,59,1,46.238,336.62,12.92,724.51,4,20,24.68,39.34,757,1.03,1.98
197,197,59,2,37.177,299.084,0.53,657.25,4,14,36.56,6.28,665,1.01,1.98
198,198,59,3,71.617,535.109,4.74,999.66,24,35,24.49,3.24,1216,1.21,2.0
199,199,59,4,34.16,358.942,7.78,640.58,12,38,21.41,21.28,865,1.33,2.2
200,200,60,1,212.107,182.927,390.39,381.2,8,17,68.32,27.95,395,0.51,1.0
201,201,60,2,27.606,355.605,2.02,944.27,4,10,21.32,17.3,740,0.78,1.93
202,202,60,3,197.085,136.722,253.2,292.41,23,9,68.95,18.13,291,0.53,0.87
203,203,60,4,84.363,712.189,6.97,1467.82,18,29,0.15,39.7,1458,0.99,1.83
204,204,61,1,62.403,280.044,0.0,765.82,4,13,62.4,6.19,625,0.82,1.83
205,205,61,2,32.972,327.307,1.19,812.15,4,13,4.15,2.2,754,0.93,2.09
206,206,61,3,51.561,271.475,1.43,639.9,6,15,48.57,17.69,587,0.92,1.82
207,207,61,4,31.707,339.287,2.38,803.75,9,13,24.99,8.64,705,0.87,1.9
208,208,62,1,57.509,315.684,0.0,610.93,4,16,57.51,30.44,751,1.23,2.01
209,209,62,2,109.986,340.479,23.94,716.02,7,13,14.96,6.95,800,1.08,1.78
210,210,62,3,121.697,460.799,13.41,1037.27,23,27,28.62,24.01,1039,0.99,1.78
211,211,62,4,47.198,610.933,6.37,1121.58,13,37,16.99,31.84,1343,1.19,2.04
212,212,63,1,46.558,293.891,0.14,681.95,10,14,35.04,22.56,662,0.97,1.94
213,213,63,2,78.596,303.629,0.0,624.1,4,46,78.6,38.72,1279,2.05,3.35
214,214,63,3,50.967,289.221,11.46,602.32,5,29,32.07,19.76,637,1.04,1.87
215,215,63,4,43.642,287.39,5.45,631.03,7,16,9.42,5.71,616,0.97,1.86
