participant,scenario,taskId,planning_distance,navigating_distance
28,4,3.0,1.37,87.44
28,4,4.0,0.04,139.03
29,1,0.0,0.0,0.0
29,1,1.0,0.0,64.22
29,1,2.0,0.0,236.41
29,1,3.0,0.0,203.55
29,1,4.0,0.0,289.97
29,2,0.0,0.0,0.0
29,2,1.0,0.1,235.2
29,2,2.0,0.25,393.37
29,2,3.0,7.8,214.54
29,2,4.0,8.72,112.84
29,3,0.0,0.0,0.0
29,3,1.0,0.0,153.53
29,3,2.0,0.91,97.75
29,3,3.0,0.0,63.73
29,3,4.0,1.26,161.2
29,4,0.0,0.0,0.0
29,4,1.0,0.32,188.11
29,4,2.0,0.0,352.47
29,4,3.0,0.0,163.32
29,4,4.0,0.03,148.68
30,1,0.0,0.0,0.0
30,1,1.0,0.42,78.12
30,1,2.0,0.0,136.62
30,1,3.0,0.0,148.93
30,1,4.0,0.0,214.2
30,2,0.0,0.0,0.0
30,2,1.0,0.0,200.74
30,2,2.0,0.0,88.01
30,2,3.0,0.0,174.7
30,2,4.0,0.0,162.93
30,3,0.0,0.0,0.0
30,3,1.0,1.14,219.53
30,3,2.0,0.07,208.07
30,3,3.0,0.57,59.56
30,3,4.0,0.05,75.09
30,4,0.0,0.0,0.0
30,4,1.0,5.81,188.21
30,4,2.0,0.09,296.75
30,4,3.0,0.92,235.12
30,4,4.0,3.36,185.56
31,1,0.0,0.0,0.0
31,1,1.0,0.08,118.55
31,1,2.0,0.64,137.04
31,1,3.0,0.21,305.09
31,1,4.0,0.78,141.15
31,2,0.0,0.0,0.0
31,2,1.0,0.0,238.25
31,2,2.0,0.0,211.0
31,2,3.0,0.0,90.8
31,2,4.0,0.5,58.07
31,3,0.0,0.0,0.0
31,3,1.0,0.0,166.26
31,3,2.0,0.36,264.14
31,3,3.0,2.41,478.05
31,4,0.0,0.0,0.0
31,4,1.0,1.44,402.69
31,4,2.0,0.0,162.37
31,4,3.0,3.6,270.03
31,4,4.0,0.01,159.69
32,1,0.0,0.0,0.0
32,1,1.0,0.07,206.13
32,1,2.0,0.0,235.49
32,1,3.0,0.04,94.71
32,1,4.0,0.04,25.3
32,2,0.0,0.0,0.0
32,2,1.0,0.45,268.94
32,2,2.0,4.65,239.97
32,2,3.0,0.03,52.89
32,2,4.0,17.29,367.28
32,3,0.0,0.0,0.0
32,3,1.0,0.42,135.84
32,3,2.0,1.47,105.35
32,3,3.0,0.0,274.5
32,3,4.0,0.79,168.97
32,4,0.0,0.0,0.0
32,4,1.0,1.83,74.9
32,4,2.0,4.09,194.47
32,4,3.0,1.34,123.13
32,4,4.0,0.0,266.87
33,1,0.0,0.0,0.0
33,1,1.0,0.0,116.68
33,1,2.0,1.41,324.25
33,1,3.0,1.65,233.77
33,1,4.0,0.0,159.36
33,2,0.0,0.0,0.0
33,2,1.0,0.54,189.47
33,2,2.0,0.0,192.2
33,2,3.0,0.0,336.85
33,2,4.0,0.0,151.58
33,3,0.0,0.0,0.0
33,3,1.0,0.74,151.61
33,3,2.0,0.04,117.32
33,3,3.0,0.0,167.17
33,3,4.0,1.16,148.49
33,4,0.0,0.0,0.0
33,4,1.0,0.45,132.22
33,4,2.0,0.34,125.59
33,4,3.0,0.31,221.9
33,4,4.0,0.0,37.07
34,1,0.0,0.0,0.0
34,1,1.0,0.09,75.45
34,1,2.0,0.0,249.86
34,1,3.0,27.42,0.0
34,1,4.0,0.41,231.16
34,2,0.0,0.0,0.0
34,2,1.0,0.0,280.37
34,2,2.0,0.1,182.01
34,2,3.0,0.0,280.82
34,2,4.0,62.71,137.53
34,3,0.0,0.0,0.0
34,3,1.0,11.79,225.66
34,3,2.0,0.28,227.46
34,3,3.0,0.86,193.44
34,3,4.0,36.73,8.95
34,4,0.0,0.0,0.0
34,4,1.0,71.45,88.09
34,4,2.0,112.25,155.44
34,4,3.0,24.4,50.74
34,4,4.0,28.37,6.32
35,1,0.0,0.0,0.0
35,1,1.0,0.05,203.07
35,1,2.0,0.41,218.38
35,1,3.0,0.0,80.8
35,1,4.0,0.04,25.9
35,2,0.0,0.0,0.0
35,2,1.0,0.0,283.04
35,2,2.0,1.95,146.02
35,2,3.0,26.29,59.99
35,2,4.0,6.44,36.95
35,3,0.0,0.0,0.0
35,3,1.0,0.52,191.74
35,3,2.0,5.64,53.11
35,3,3.0,1.29,219.14
35,3,4.0,0.0,96.27
35,4,0.0,0.0,0.0
35,4,1.0,0.0,60.22
35,4,2.0,0.14,181.3
35,4,3.0,0.0,158.55
35,4,4.0,0.0,238.82
36,1,0.0,0.0,0.0
36,1,1.0,0.0,66.74
36,1,2.0,0.0,245.2
36,1,3.0,0.0,113.03
36,1,4.0,0.0,187.22
36,2,0.0,0.0,0.0
36,2,1.0,0.07,237.25
36,2,2.0,0.14,79.15
36,2,3.0,0.1,142.67
36,2,4.0,0.14,122.06
36,3,0.0,0.0,0.0
36,3,1.0,0.02,145.14
36,3,2.0,0.22,100.26
36,3,3.0,0.0,76.05
36,3,4.0,0.55,166.81
36,4,0.0,0.0,0.0
36,4,1.0,4.1,206.59
36,4,2.0,0.64,273.85
36,4,3.0,1.27,208.46
36,4,4.0,8.11,162.14
37,1,0.0,0.0,0.0
37,1,1.0,0.0,81.84
37,1,2.0,0.56,255.16
37,1,3.0,0.0,532.06
37,1,4.0,0.0,410.35
37,2,0.0,0.0,0.0
37,2,1.0,0.02,272.99
37,2,2.0,0.99,463.93
37,2,3.0,0.0,138.42
37,2,4.0,0.14,293.47
37,3,0.0,0.0,0.0
37,3,1.0,0.13,470.04
37,3,2.0,0.25,144.24
37,3,3.0,0.09,195.08
37,3,4.0,0.0,56.01
37,4,0.0,0.0,0.0
37,4,1.0,23.95,42.89
37,4,2.0,0.0,228.43
37,4,3.0,0.0,312.43
37,4,4.0,0.0,126.35
38,1,0.0,0.0,0.0
38,1,1.0,0.11,256.8
38,1,2.0,0.0,309.35
38,1,3.0,3.52,127.28
38,1,4.0,0.0,330.46
38,2,0.0,0.0,0.0
38,2,1.0,0.61,434.71
38,2,2.0,0.0,377.07
38,2,3.0,0.0,121.22
38,2,4.0,0.0,35.58
38,3,0.0,0.0,0.0
38,3,1.0,0.0,253.74
38,3,2.0,3.02,94.49
38,3,3.0,3.46,231.04
38,3,4.0,0.0,587.41
38,4,0.0,0.0,0.0
38,4,1.0,0.0,128.93
38,4,2.0,0.0,86.94
38,4,3.0,0.57,459.43
38,4,4.0,0.0,333.22
39,1,0.0,0.0,0.0
39,1,1.0,0.03,64.87
39,1,2.0,0.0,223.48
39,1,3.0,0.0,126.52
39,1,4.0,0.0,182.09
39,2,0.0,0.0,0.0
39,2,1.0,0.14,236.32
