"","id","scenario_id","t_id","p_desc","p_id","task_phase_time","task_deactive_time_map","task_perc_inactive","task_perc_active"
"278","20","2",1,"planning",1,50.2929999828339,28.2230000495911,0.56117153598362,0.43882846401638
"279","20","2",2,"navigating",5,42.7639999389648,30.6009998321533,0.715578521088504,0.284421478911496
"280","20","2",2,"planning",4,15.8900001049042,0.503000020980835,0.031655130123353,0.968344869876647
"281","20","2",3,"navigating",8,25.3019998073578,14.1449999809265,0.559046719177239,0.440953280822761
"282","20","2",3,"planning",7,38.0329999923706,9.46900010108948,0.24896800418029,0.75103199581971
"283","20","2",4,"navigating",11,13.3789999485016,2.10699987411499,0.157485602976698,0.842514397023302
"284","20","2",4,"planning",10,56.5460000038147,12.6929998397827,0.224472108352959,0.775527891647041
"285","20","3",1,"navigating",2,26.8430001735687,14.1210000514984,0.526058933807363,0.473941066192637
"286","20","3",1,"planning",1,37.3940000534058,6.72499990463257,0.179841683024763,0.820158316975237
"287","20","3",2,"navigating",5,42.1710000038147,30.6050000190735,0.725735695532594,0.274264304467406
"288","20","3",2,"planning",4,13.4169998168945,0,0,1
"289","20","3",3,"navigating",8,4.0939998626709,0,0,1
"290","20","3",3,"planning",7,66.6519999504089,42.8860001564026,0.643431557767374,0.356568442232626
"291","20","3",4,"navigating",11,13.3619999885559,2.0770001411438,0.155440812971313,0.844559187028687
"292","20","3",4,"planning",10,6.10600018501282,0,0,1
"293","20","4",1,"navigating",2,67.6679999828339,15.0840001106262,0.222911865497026,0.777088134502974
"294","20","4",1,"planning",1,11.0699999332428,0,0,1
"295","20","4",2,"navigating",5,116.93499994278,41.0910000801086,0.351400351479163,0.648599648520837
"296","20","4",2,"planning",4,8.25300002098083,0,0,1
"297","20","4",3,"navigating",8,102.095999956131,47.4260001182556,0.46452358700276,0.53547641299724
"298","20","4",3,"planning",7,17.3690001964569,0.721999883651733,0.0415683041905321,0.958431695809468
"299","20","4",4,"navigating",11,69.9289999008179,48.0009999275208,0.68642480223658,0.31357519776342
"300","20","4",4,"planning",10,10.0799999237061,0,0,1
"301","21","1",1,"navigating",2,51.2290000915527,12.125,0.23668234746591,0.76331765253409
"302","21","1",1,"planning",1,6.46299982070923,0,0,1
"303","21","1",2,"navigating",5,87.7170000076294,21.985999584198,0.250646962188466,0.749353037811534
"304","21","1",2,"planning",4,17.3489999771118,0,0,1
"305","21","1",3,"navigating",8,74.3829998970032,40.371000289917,0.542744986701504,0.457255013298496
"306","21","1",3,"planning",7,4.58200001716614,0,0,1
"307","21","1",4,"navigating",11,108.421000003815,77.3819999694824,0.713717821886533,0.286282178113467
"308","21","1",4,"planning",10,11.3180000782013,0,0,1
"309","21","2",1,"navigating",2,126.450999975204,74.6139996051788,0.590062550868002,0.409937449131998
"310","21","2",1,"planning",1,6.61199998855591,0,0,1
"311","21","2",2,"navigating",5,174.045000076294,60.8759999275208,0.349771610220548,0.650228389779452
"312","21","2",2,"planning",4,3.68199992179871,0,0,1
"313","21","2",3,"navigating",8,140.727999925613,63.5130000114441,0.451317435371895,0.548682564628105
"314","21","2",3,"planning",7,4.67400002479553,0,0,1
"315","21","2",4,"navigating",11,84.085000038147,61.1159999370575,0.726835938744495,0.273164061255505
"316","21","2",4,"planning",10,2.37800002098083,0,0,1
"317","21","3",1,"navigating",2,120.197999954224,56.496000289917,0.470024462232591,0.529975537767409
"318","21","3",1,"planning",1,5.87400007247925,0,0,1
"319","21","3",2,"navigating",5,112.029000043869,79.7849998474121,0.712181665605954,0.287818334394046
"320","21","3",2,"planning",4,6.5990002155304,0,0,1
"321","21","3",3,"navigating",8,156.125,59.382000207901,0.380349080595042,0.619650919404958
"322","21","3",3,"planning",7,12.9049999713898,0,0,1
"323","21","3",4,"navigating",11,49.8139998912811,16.6690001487732,0.334624807988783,0.665375192011217
"324","21","3",4,"planning",10,2.50300002098083,0,0,1
"325","21","4",1,"navigating",2,40.4700000286102,18.5429999828339,0.45819125203175,0.54180874796825
"326","21","4",1,"planning",1,2.75799989700317,0,0,1
"327","21","4",2,"navigating",5,100.127999782562,45.9669997692108,0.459082373252563,0.540917626747437
"328","21","4",2,"planning",4,2.48499989509583,0,0,1
"329","21","4",3,"navigating",8,58.5419998168945,36.7760000228882,0.62819856065585,0.37180143934415
"330","21","4",3,"planning",7,3.55099987983704,0,0,1
"331","21","4",4,"navigating",11,49.9289999008179,28.4170000553131,0.569148192668839,0.430851807331161
"332","21","4",4,"planning",10,2.94400000572205,0,0,1
"333","22","1",1,"navigating",2,121.242000102997,72.587000131607,0.598695172217081,0.401304827782919
"334","22","1",1,"planning",1,24.356999874115,0,0,1
"335","22","1",2,"navigating",5,166.240000009537,107.564999818802,0.647046437756443,0.352953562243557
"336","22","1",2,"planning",4,26.1270000934601,0,0,1
"337","22","1",3,"navigating",8,47.4660000801086,25.2089998722076,0.531095938770115,0.468904061229885
"338","22","1",3,"planning",7,15.4909999370575,0,0,1
"339","22","1",4,"navigating",11,65.4540002346039,16.8470003604889,0.257386871697756,0.742613128302244
"340","22","1",4,"planning",10,23.5599999427795,0.740000009536743,0.0314091685625633,0.968590831437437
"341","22","2",1,"navigating",2,154.1859998703,42.0700001716614,0.272852270679895,0.727147729320105
"342","22","2",1,"planning",1,4.60000014305115,0,0,1
"343","22","2",2,"navigating",5,85.7210001945496,15.1080000400543,0.176246194115394,0.823753805884606
"344","22","2",2,"planning",4,15.3810000419617,0,0,1
"345","22","2",3,"navigating",8,28.1219999790192,16.6760001182556,0.592987701112901,0.407012298887099
"346","22","2",3,"planning",7,18.6749999523163,0,0,1
"347","22","2",4,"navigating",11,24.1460001468658,7.81800007820129,0.323780337556905,0.676219662443095
"348","22","2",4,"planning",10,22.164999961853,0,0,1
"349","22","3",1,"navigating",2,107.594000101089,44.6969997882843,0.415422790734515,0.584577209265485
"350","22","3",1,"planning",1,23.8860001564026,0,0,1
"351","22","3",2,"navigating",5,42.2550001144409,29.835000038147,0.706070286530438,0.293929713469562
"352","22","3",2,"planning",4,18.1119999885559,0,0,1
"353","22","3",3,"navigating",8,131.874000072479,108.701000213623,0.824279237407525,0.175720762592475
"354","22","3",3,"planning",7,20.0650000572205,0,0,1
"355","22","3",4,"navigating",11,136.832999944687,76.6729998588562,0.560339975662672,0.439660024337328
"356","22","3",4,"planning",10,10.5880000591278,0,0,1
"357","22","4",1,"navigating",2,52.9060001373291,39.6760001182556,0.749933845221107,0.250066154778893
"358","22","4",1,"planning",1,18.9470000267029,0,0,1
"359","22","4",2,"navigating",5,100.391999959946,41.9620001316071,0.417981513948811,0.582018486051189
"360","22","4",2,"planning",4,8.02400016784668,0,0,1
"361","22","4",3,"navigating",8,69.1529998779297,55.1499998569489,0.797506976621416,0.202493023378584
"362","22","4",3,"planning",7,7.18700003623962,0,0,1
"363","22","4",4,"navigating",11,55.7720000743866,40.8980000019073,0.733307034844709,0.266692965155291
"364","22","4",4,"planning",10,18.5969998836517,0,0,1
"365","23","1",1,"navigating",2,34.9649999141693,5.13299989700317,0.146803944218603,0.853196055781397
"366","23","1",1,"planning",1,6.52099990844727,0,0,1
"367","23","1",2,"navigating",5,81.9359998703003,13.3079998493195,0.162419447744401,0.837580552255599
"368","23","1",2,"planning",4,6.25600004196167,0,0,1
"369","23","1",3,"navigating",8,51.1699998378754,5.35500025749207,0.10465116815436,0.89534883184564
"370","23","1",3,"planning",7,4.55399990081787,0,0,1
"371","23","1",4,"navigating",11,54.1119999885559,5.41699981689453,0.100107181734923,0.899892818265077
"372","23","1",4,"planning",10,3.23399996757507,0,0,1
"373","23","2",1,"navigating",2,163.463999986649,21.569000005722,0.131949542452673,0.868050457547327
"374","23","2",1,"planning",1,12.1100001335144,0,0,1
"375","23","2",2,"navigating",5,82.1019999980927,17.3799998760223,0.211687898911428,0.788312101088572
"376","23","2",2,"planning",4,5.39199995994568,0,0,1
"377","23","2",3,"navigating",8,42.6159999370575,21.0380001068115,0.493664354652806,0.506335645347194
"378","23","2",3,"planning",7,4.34300017356873,0,0,1
"379","23","2",4,"navigating",11,66.3680000305176,13.9540004730225,0.210251935670897,0.789748064329103
"380","23","2",4,"planning",10,6.57400012016296,0,0,1
"381","23","3",1,"navigating",2,248.233000040054,99.8120007514954,0.40208997488404,0.59791002511596
"382","23","3",1,"planning",1,9.78699994087219,0,0,1
"383","23","3",2,"navigating",5,48.7119998931885,25.9500000476837,0.532722945158989,0.467277054841011
"384","23","3",2,"planning",4,18.6340000629425,0,0,1
"385","23","3",3,"navigating",8,55.4909999370575,22.7429995536804,0.409850238407623,0.590149761592377
"386","23","3",3,"planning",7,11.210000038147,0,0,1
"387","23","3",4,"navigating",11,63.0299999713898,19.7200005054474,0.31286689694429,0.68713310305571
"388","23","3",4,"planning",10,7.37700009346008,0,0,1
"389","23","4",1,"navigating",2,119.27999997139,75.4479999542236,0.632528504127435,0.367471495872565
"390","23","4",1,"planning",1,9.39400005340576,0,0,1
"391","23","4",2,"navigating",5,223.99799990654,89.5570003986359,0.399811607407219,0.600188392592781
"392","23","4",2,"planning",4,7.85899996757507,0,0,1
"393","23","4",3,"navigating",8,89.7530000209808,38.1380000114441,0.424921729663954,0.575078270336046
"394","23","4",3,"planning",7,6.89100003242493,0,0,1
"395","23","4",4,"navigating",11,115.665000200272,63.0659999847412,0.545247048593297,0.454752951406703
"396","23","4",4,"planning",10,4.75,0,0,1
"397","24","1",1,"navigating",2,56.4670000076294,43.5499999523163,0.771246922032907,0.228753077967093
"398","24","1",1,"planning",1,12.4390001296997,0,0,1
"399","24","1",2,"navigating",5,135.083999872208,117.358999967575,0.86878534895768,0.13121465104232
"400","24","1",2,"planning",4,7.13100004196167,0,0,1
"401","24","1",3,"navigating",8,61.0460000038147,45.2269999980927,0.740867542431387,0.259132457568613
"402","24","1",3,"planning",7,7.41700005531311,0,0,1
"403","24","1",4,"navigating",11,76.9560000896454,50.1269998550415,0.651372210050535,0.348627789949465
"404","24","1",4,"planning",10,17.6099998950958,0,0,1
"405","24","2",1,"navigating",2,77.2460000514984,50.6099998950958,0.655179554428127,0.344820445571873
"406","24","2",1,"planning",1,7.91100001335144,0,0,1
"407","24","2",2,"navigating",5,35.7929999828339,19.3400001525879,0.540329119153557,0.459670880846443
"408","24","2",2,"planning",4,10.3339998722076,0,0,1
"409","24","2",3,"navigating",8,198.293999910355,120.703000307083,0.608707274862835,0.391292725137165
"410","24","2",3,"planning",7,8.72599983215332,0,0,1
"411","24","2",4,"navigating",11,30.9370000362396,19.5799999237061,0.632899114354011,0.367100885645989
"412","24","2",4,"planning",10,4.48000001907349,0,0,1
"413","24","3",1,"navigating",2,89.3680000305176,65.0539999008179,0.727933934726111,0.272066065273889
"414","24","3",1,"planning",1,12.0030000209808,0,0,1
"415","24","3",2,"navigating",5,87.2220001220703,73.2779998779297,0.840132074194292,0.159867925805708
"416","24","3",2,"planning",4,11.6400001049042,0,0,1
"417","24","3",3,"navigating",8,50.8470001220703,36.9519999027252,0.726729203571758,0.273270796428242
"418","24","3",3,"planning",7,6.0699999332428,0,0,1
"419","24","3",4,"navigating",11,74.6059999465942,59.5650000572205,0.798394232365484,0.201605767634516
"420","24","3",4,"planning",10,6.73099994659424,0,0,1
"421","24","4",1,"navigating",2,54.6270000934601,41.5700001716614,0.760979004897582,0.239020995102418
"422","24","4",1,"planning",1,17.3340001106262,0,0,1
"423","24","4",2,"navigating",5,116.729000091553,94.9119999408722,0.81309700131442,0.18690299868558
"424","24","4",2,"planning",4,19.6619999408722,0,0,1
"425","24","4",3,"navigating",8,150.861000061035,118.693999767303,0.78677723016076,0.21322276983924
"426","24","4",3,"planning",7,23.9579999446869,0,0,1
"427","24","4",4,"navigating",11,80.9869999885559,63.5529999732971,0.784730882515436,0.215269117484564
"428","24","4",4,"planning",10,7.33300018310547,0,0,1
"429","25","1",1,"navigating",2,81.180999994278,57.1500000953674,0.703982460174125,0.296017539825875
"430","25","1",1,"planning",1,14.1310000419617,0,0,1
"431","25","1",2,"navigating",5,85.3819999694824,61.3950002193451,0.719062568706392,0.280937431293608
"432","25","1",2,"planning",4,17.5969998836517,1.38300013542175,0.0785929501941187,0.921407049805881
"433","25","1",3,"navigating",8,37.3910000324249,22.2400000095367,0.594795538772714,0.405204461227286
"434","25","1",3,"planning",7,4.82000017166138,0,0,1
"435","25","1",4,"navigating",11,31.1589999198914,19.7829999923706,0.634904844289995,0.365095155710005
"436","25","1",4,"planning",10,4.20499992370605,0,0,1
"437","25","2",1,"navigating",2,126.808000087738,102.228999853134,0.80617153320297,0.19382846679703
"438","25","2",1,"planning",1,10.720999956131,0,0,1
"439","25","2",2,"navigating",5,63.1930000782013,35.4670000076294,0.561248871927888,0.438751128072112
"440","25","2",2,"planning",4,4.51300001144409,0,0,1
"441","25","2",3,"navigating",8,34.2650001049042,22.7250001430511,0.663213193447463,0.336786806552537
"442","25","2",3,"planning",7,5.11199998855591,0,0,1
"443","25","2",4,"navigating",11,17.5160000324249,6.03499984741211,0.34454212355791,0.65545787644209
"444","25","2",4,"planning",10,7.97399997711182,0,0,1
"445","25","3",1,"navigating",2,106.694000005722,56.6579999923706,0.531032672777588,0.468967327222412
"446","25","3",1,"planning",1,3.59500002861023,0,0,1
"447","25","3",2,"navigating",5,136.703999996185,99.3779997825623,0.726957512474656,0.273042487525344
"448","25","3",2,"planning",4,8.19800019264221,0,0,1
"449","25","3",3,"navigating",8,68.5729999542236,45.0190002918243,0.656512042959723,0.343487957040277
"450","25","3",3,"planning",7,7.51999998092651,0,0,1
"451","25","3",4,"navigating",11,48.1589999198914,36.4849998950958,0.757594633521994,0.242405366478006
"452","25","3",4,"planning",10,6.85899996757507,0,0,1
"453","25","4",1,"navigating",2,110.738999843597,69.1170003414154,0.624143259728127,0.375856740271873
"454","25","4",1,"planning",1,7.31399989128113,0,0,1
"455","25","4",2,"navigating",5,200.460999965668,137.852999925613,0.687679897582188,0.312320102417812
