Unnamed: 0,id,scenario_id,planning_time_x,navigating_time,participant,scenario,planning_time_y,navigation_time,difference_planning,difference_navigation
150,47,2,15.0119998455048,249.78600025177,47,2,15.013,249.964,-0.00,-0.18
151,47,3,72.2209997177124,275.964000463486,47,3,72.223,276.272,-0.00,-0.31
152,47,4,24.003999710083,209.694999933243,47,4,24.004,209.98,-0.00,-0.29
153,48,1,49.6879999637603,287.140000343322,48,1,49.688,287.344,-0.00,-0.20
154,48,2,60.5090000629425,454.616999864578,48,2,60.509,454.896,0.00,-0.28
155,48,3,47.0230000019073,272.680999755859,48,3,47.026,272.954,-0.00,-0.27
156,48,4,35.0729999542237,289.683000326156,48,4,35.073,289.951,-0.00,-0.27
157,49,1,77.7549998760224,297.542999982834,49,1,77.755,297.784,-0.00,-0.24
158,49,2,28.8109998703003,342.4390001297,49,2,28.811,342.701,-0.00,-0.26
159,49,3,46.8030004501343,357.422000169754,49,3,46.803,357.671,0.00,-0.25
160,49,4,121.538999795914,181.719000339508,49,4,121.542,181.978,-0.00,-0.26
161,50,1,24.6760001182556,294.787000179291,50,1,24.756,294.993,-0.08,-0.21
162,50,2,63.1410000324249,376.968000411988,50,2,63.173,377.151,-0.03,-0.18
163,50,3,51.569000005722,286.529000043869,50,3,51.571,286.736,-0.00,-0.21
164,50,4,62.6409997940063,201.720999956131,50,4,62.713,201.98,-0.07,-0.26
165,51,1,39.962000131607,291.643999814987,51,1,39.962,291.78000000000003,0.00,-0.14
166,51,2,107.27999997139,505.223999977112,51,2,107.28,505.36,-0.00,-0.14
167,51,3,66.3870000839234,690.692999839782,51,3,66.387,690.918,0.00,-0.23
168,51,4,54.2660000324249,302.833999872207,51,4,54.266,303.116,0.00,-0.28
169,52,1,79.1530001163482,334.569999933243,52,1,79.153,334.779,0.00,-0.21
170,52,2,62.5239999294281,316.297000169754,52,2,62.524,316.454,-0.00,-0.16
171,52,3,49.1420001983642,233.27999997139,52,3,49.142,233.496,0.00,-0.22
172,52,4,71.217000246048,428.06700015068,52,4,71.219,428.416,-0.00,-0.35
173,53,1,37.4859998226166,372.250000238418,53,1,37.486,372.45,-0.00,-0.20
174,53,2,43.3829998970033,325.325000047684,53,2,43.383,325.509,-0.00,-0.18
175,53,3,31.1289999485016,382.346999883652,53,3,31.129,382.572,-0.00,-0.23
176,53,4,25.4730000495911,369.850999593735,53,4,25.473000000000003,370.034,0.00,-0.18
177,54,1,60.8339998722076,237.266999959946,54,1,60.834,237.381,-0.00,-0.11
178,54,2,66.4830000400544,327.259000062943,54,2,66.483,327.462,0.00,-0.20
179,54,3,38.9979999065399,380.983000040054,54,3,38.998,381.211,-0.00,-0.23
180,54,4,37.2760000228881,281.703999996185,54,4,37.35,281.92900000000003,-0.07,-0.23
181,55,1,40.1010000705719,278.756000041962,55,1,40.101,278.999,0.00,-0.24
182,55,2,42.7849996089935,350.212000370026,55,2,42.785,350.416,-0.00,-0.20
183,55,3,98.1710000038146,327.824999809265,55,3,98.173,328.067,-0.00,-0.24
184,55,4,68.0699999332428,573.259000062942,55,4,68.072,573.5,-0.00,-0.24
185,56,1,49.8879997730256,296.773000240326,56,1,49.888,296.995,-0.00,-0.22
186,56,2,25.4429998397827,233.700999498367,56,2,25.443,233.842,-0.00,-0.14
187,56,3,34.7070000171661,238.454999923706,56,3,34.707,238.636,0.00,-0.18
188,56,4,48.2579998970033,234.900000095367,56,4,48.258,235.165,-0.00,-0.26
189,57,1,73.3059999942779,301.649999618531,57,1,73.306,301.728,-0.00,-0.08
190,57,2,42.4539997577668,277.876000165939,57,2,42.454,277.98,-0.00,-0.10
191,57,3,21.8259999752044,346.541000127792,57,3,21.826,346.772,-0.00,-0.23
192,57,4,26.8469998836517,636.084000110626,57,4,26.847,636.138,-0.00,-0.05
193,58,1,16.2459995746613,263.230999708176,58,1,16.317,263.384,-0.07,-0.15
194,58,2,19.183000087738,226.643000125885,58,2,19.183,226.76,0.00,-0.12
195,58,3,30.7459998130798,255.018000364304,58,3,30.746,255.2,-0.00,-0.18
196,58,4,30.9769999980927,360.853999853134,58,4,31.213,361.109,-0.24,-0.26
197,59,1,46.2360000610352,336.473999977111,59,1,46.238,336.62,-0.00,-0.15
198,59,2,37.177000284195,298.971999883652,59,2,37.177,299.084,0.00,-0.11
199,59,3,71.6169998645782,532.261000394822,59,3,71.617,535.109,-0.00,-2.85
200,59,4,48.9850001335144,343.876999616622,59,4,50.405,342.361,-1.42,1.52
201,60,1,212.106999635697,182.651000261307,60,1,212.107,182.927,-0.00,-0.28
202,60,2,27.6059999465943,355.279000043869,60,2,27.606,355.605,-0.00,-0.33
203,60,3,197.084999799728,136.464000225067,60,3,197.085,136.722,-0.00,-0.26
204,60,4,84.3600001335144,711.882000446319,60,4,84.363,712.1890000000001,-0.00,-0.31
205,61,1,62.4029998779297,279.730999946594,61,1,62.403,280.044,-0.00,-0.31
206,61,2,32.9129998683929,327.180999994278,61,2,32.972,327.307,-0.06,-0.13
207,61,3,51.5609998703002,271.193000078201,61,3,51.561,271.475,-0.00,-0.28
208,61,4,31.7059998512268,339.033999681472,61,4,31.707,339.28700000000003,-0.00,-0.25
209,62,1,57.508999824524,315.488999843598,62,1,57.509,315.684,-0.00,-0.20
210,62,2,109.985999822617,340.239000082016,62,2,109.986,340.479,-0.00,-0.24
211,62,3,121.697000265122,460.557000160217,62,3,121.697,460.799,0.00,-0.24
212,62,4,47.1979999542236,610.604000091552,62,4,47.198,610.933,-0.00,-0.33
213,63,1,46.5579996109008,293.664999961853,63,1,46.558,293.891,-0.00,-0.23
214,63,2,78.5939998626709,303.465000152588,63,2,78.596,303.629,-0.00,-0.16
215,63,3,50.9130001068115,289.019000053406,63,3,50.967,289.221,-0.05,-0.20
216,63,4,43.6419999599457,287.157000303268,63,4,43.642,287.39,-0.00,-0.23
