"participantno","scenario","startpoint","lg_1","lg_2","lg_3","lg_4","total_length","duration_1","duration_2","duration_3","duration_4","total_duration","total_speed","num_stops_1","num_stops_2","num_stops_3","num_stops_4","total_walkingstops","stops_duration_1","stops_duration_2","stops_duration_3","stops_duration_4","total_walkingstop_duration"
36,4,"w",210.685252854805,274.493778130266,209.730498163705,170.242794451187,865.152323599963,103,144,111,89,447,1.9354638111856,12,10,5,8,35,11.283,28.545,0.156,0.531,40.515
37,1,"s",81.8386706363432,255.716726441067,532.065620047915,410.351388344372,1279.9724054697,57,134,318,222,731,1.7509882427766,3,7,12,4,26,21.5,32.67,89.693,50.954,194.817
37,2,"w",273.010513602125,464.925024060002,138.418974978511,293.608116278457,1169.96262891909,132,216,69,136,553,2.11566479008878,4,8,4,4,20,28.202,20.964,17.195,24.829,91.19
37,3,"e",470.167668957954,144.482727324573,195.172224527762,56.0096897047286,865.832310515017,277,106,488,41,912,0.949377533459448,5,5,28,3,41,0.012,0.011,318.407,11.72,330.15
37,4,"n",66.8400996427184,228.429086119081,312.434990105113,126.350750412441,734.054926279353,65,166,169,64,464,1.58201492732619,9,14,8,1,32,28.98,28.45,21.236,9.475,88.141
38,1,"e",256.916097873059,309.347396216104,130.79881204311,330.459702415915,1027.52200854819,143,149,62,140,494,2.08000406588702,2,3,4,7,16,0.348,12.225,1.176,9.396,23.145
38,2,"s",435.326872248741,377.069350995764,121.224897548014,35.578140929951,969.19926172247,219,186,84,45,534,1.81497989086605,13,9,4,3,29,27.139,24.212,18.955,27.543,97.849
38,3,"w",253.741517271075,97.5112570666056,234.505925262738,587.408904182676,1173.1676037831,193,95,164,376,828,1.41686908669456,9,15,14,11,49,65.529,20.653,14.791,17.295,118.268
38,4,"n",128.930123884685,86.940021791248,460.007700925587,333.21616195416,1009.09400855568,96,90,339,190,715,1.41132029168627,10,9,19,13,51,18.7,13.071,59.157,18.94,109.868
39,1,"n",64.8965140003262,223.48438304053,126.517616962863,182.091722426344,596.990236430062,32,113,64,82,291,2.05151283996585,6,7,3,3,19,6.873,24.331,16.834,13.577,61.615
39,2,"e",236.463125459875,83.7306979483178,153.489082291279,243.333571520962,717.016477220434,109,46,66,138,359,1.99726038222962,7,2,3,5,17,0.038,0.066,2.024,31.979,34.107
39,3,"s",160.062596773078,164.677623800087,173.262887008733,180.285855035641,678.28896261754,108,109,83,109,409,1.65840822155878,13,10,6,13,42,29.652,35.38,10.978,23.181,99.191
39,4,"w",162.379593121441,275.555252820554,367.644553847169,171.541601834025,977.121001623189,90,148,203,76,517,1.88998259501584,12,8,10,3,33,20.299,26.739,8.606,3.809,59.453
40,1,"w",115.795415005031,130.82765450584,273.134636688508,197.142663178385,716.900369377764,52,53,155,87,347,2.06599530080047,3,2,15,4,24,7.972,2.113,56.052,4.947,71.084
40,2,"n",230.894274474449,122.843008127038,225.443838504079,145.914453026445,725.095574132011,99,67,134,75,375,1.93358819768536,5,8,6,4,23,12.371,15.512,27.625,21.924,77.432
40,3,"e",174.275221454093,162.755598091047,90.9753416615954,104.334642559131,532.340803765867,98,88,60,71,317,1.67930852922986,9,6,4,7,26,0.019,0.01,0.008,2.442,2.479
40,4,"s",84.0216769831237,264.024572936554,39.4269571391028,53.2272200995003,440.700427158281,73,154,29,46,302,1.4592729376102,12,13,5,5,35,28.726,24.464,11.064,8.764,73.018
41,1,"e",224.462825545171,213.753539392796,82.9514259319692,249.674330185132,770.842121055068,120,106,81,127,434,1.77613391948172,10,2,8,10,30,1.519,27.3,0.067,0.228,29.114
41,2,"s",299.178064088809,139.058953696501,66.3219963210819,44.2597810563207,548.818795162713,151,103,48,62,364,1.50774394275471,4,5,4,3,16,25.505,47.552,23.34,42.711,139.108
41,3,"n",179.049888207752,194.20779428803,191.233855589645,51.5880537403145,616.079591825741,117,131,119,59,426,1.44619622494305,9,10,12,6,37,29.542,34.77,35.749,28.377,128.438
41,4,"w",189.022407664308,344.984339957087,258.31357286254,157.858180311026,950.178500794962,115,187,133,78,513,1.85219980661786,8,9,6,6,29,34.362,31.467,1.462,18.864,86.155
42,1,"n",69.1212390205374,166.811395383145,118.880101423299,174.627634146392,529.440369973374,38,73,60,68,239,2.21523167352876,5,2,3,4,14,8.456,15.028,17.295,0.434,41.213
