"","id","scenario_id","action_type_re","t_id","p_desc","task_time","count_task_phases","task_phase_time_sum","phase_perc"
"973","42","2","task_accepted",4,"planning",60.5309998989105,1,5.43799996376038,0.0898382642421582
"974","42","2","set_navigation",4,"navigating",60.5309998989105,1,55.0929999351501,0.910161735757842
"975","42","3","task_accepted",1,"planning",59.9700000286102,1,5.46300005912781,0.0910955487163839
"976","42","3","set_navigation",1,"navigating",59.9700000286102,1,54.5069999694824,0.908904451283616
"977","42","3","task_accepted",2,"planning",68.9300000667572,1,17.8280000686646,0.258639199933244
"978","42","3","set_navigation",2,"navigating",68.9300000667572,1,51.1019999980927,0.741360800066756
"979","42","3","task_accepted",3,"planning",35.7600002288818,1,4.78400015830994,0.133780764197146
"980","42","3","set_navigation",3,"navigating",35.7600002288818,1,30.9760000705719,0.866219235802854
"981","42","3","task_accepted",4,"planning",80.6770000457764,1,4.30900001525879,0.0534105136880877
"982","42","3","set_navigation",4,"navigating",80.6770000457764,1,76.3680000305176,0.946589486311912
"983","42","4","task_accepted",1,"planning",89.9489998817444,1,4.08399987220764,0.0454035050703939
"984","42","4","set_navigation",1,"navigating",89.9489998817444,1,85.8650000095367,0.954596494929606
"985","42","4","task_accepted",2,"planning",122.776999950409,1,9.38499999046326,0.076439398211831
"986","42","4","set_navigation",2,"navigating",122.776999950409,1,113.391999959946,0.923560601788169
"987","42","4","task_accepted",3,"planning",109.468999862671,1,3.75,0.0342562735085219
"988","42","4","set_navigation",3,"navigating",109.468999862671,1,105.718999862671,0.965743726491478
"989","42","4","task_accepted",4,"planning",66.0590000152588,1,3.48000001907349,0.0526801801158003
"990","42","4","set_navigation",4,"navigating",66.0590000152588,1,62.5789999961853,0.9473198198842
"991","43","1","task_accepted",1,"planning",58.0010001659393,1,14.4740002155304,0.249547424598208
"992","43","1","set_navigation",1,"navigating",58.0010001659393,1,43.5269999504089,0.750452575401792
"993","43","1","task_accepted",2,"planning",264.28200006485,1,27.6230001449585,0.104520928925089
"994","43","1","set_navigation",2,"navigating",264.28200006485,1,236.658999919891,0.895479071074911
"995","43","1","task_accepted",3,"planning",25.9889998435974,1,16.7699999809265,0.6452730032648
"996","43","1","set_navigation",3,"navigating",25.9889998435974,1,9.2189998626709,0.3547269967352
"997","43","1","task_accepted",4,"planning",81.7730000019073,1,19.1480000019073,0.234160419716297
"998","43","1","set_navigation",4,"navigating",81.7730000019073,1,62.625,0.765839580283703
"999","43","2","task_accepted",1,"planning",102.885999917984,1,24.2009999752045,0.235221507245849
"1000","43","2","set_navigation",1,"navigating",102.885999917984,1,78.6849999427795,0.764778492754151
"1001","43","2","task_accepted",2,"planning",50.1609997749329,1,15.7809998989105,0.31460696496717
"1002","43","2","set_navigation",2,"navigating",50.1609997749329,1,34.3799998760223,0.68539303503283
"1003","43","2","task_accepted",3,"planning",81.2830002307892,1,17.6530001163483,0.217179484839703
"1004","43","2","set_navigation",3,"navigating",81.2830002307892,1,63.6300001144409,0.782820515160297
"1005","43","2","task_accepted",4,"planning",95.454999923706,1,28.9739999771118,0.303535697451886
"1006","43","2","set_navigation",4,"navigating",95.454999923706,1,66.4809999465942,0.696464302548114
"1007","43","3","task_accepted",1,"planning",116.551000118256,1,28.2300000190735,0.24221156395424
"1008","43","3","set_navigation",1,"navigating",116.551000118256,1,88.3210000991821,0.75778843604576
"1009","43","3","task_accepted",2,"planning",201.116000175476,1,22.8560001850128,0.113645856943608
"1010","43","3","set_navigation",2,"navigating",201.116000175476,1,178.259999990463,0.886354143056392
"1011","43","3","task_accepted",3,"planning",56.9100000858307,1,22.3790001869202,0.39323493504074
"1012","43","3","set_navigation",3,"navigating",56.9100000858307,1,34.5309998989105,0.60676506495926
"1013","43","3","task_accepted",4,"planning",75.3329999446869,1,17.3770000934601,0.230669163662925
"1014","43","3","set_navigation",4,"navigating",75.3329999446869,1,57.9559998512268,0.769330836337075
"1015","43","4","task_accepted",1,"planning",136.263000011444,1,18.3230001926422,0.134467905382263
"1016","43","4","set_navigation",1,"navigating",136.263000011444,1,117.939999818802,0.865532094617737
"1017","43","4","task_accepted",2,"planning",87.6570000648499,1,16.2320001125336,0.185176313363735
"1018","43","4","set_navigation",2,"navigating",87.6570000648499,1,71.4249999523163,0.814823686636265
"1019","43","4","task_accepted",3,"planning",35.3159999847412,1,21.6699998378754,0.613602895210052
"1020","43","4","set_navigation",3,"navigating",35.3159999847412,1,13.6460001468658,0.386397104789948
"1021","43","4","task_accepted",4,"planning",59.6490001678467,1,11.3690001964569,0.190598336342028
"1022","43","4","set_navigation",4,"navigating",59.6490001678467,1,48.2799999713898,0.809401663657972
"1023","44","1","task_accepted",1,"planning",78.5650000572205,1,26.4730000495911,0.336956660476169
"1024","44","1","set_navigation",1,"navigating",78.5650000572205,1,52.0920000076294,0.66304333952383
"1025","44","1","task_accepted",2,"planning",131.544999837875,1,23.5499999523163,0.179026188614853
"1026","44","1","set_navigation",2,"navigating",131.544999837875,1,107.994999885559,0.820973811385147
"1027","44","1","task_accepted",3,"planning",36.4930000305176,1,13.6700000762939,0.37459238935857
"1028","44","1","set_navigation",3,"navigating",36.4930000305176,1,22.8229999542236,0.62540761064143
"1029","44","1","task_accepted",4,"planning",62.6060001850128,2,18.069000005722,0.28861450902988
"1030","44","1","set_navigation_wrong",4,"navigating",62.6060001850128,2,44.5370001792908,0.71138549097012
"1031","44","2","task_accepted",1,"planning",108.104000091553,1,16.2929999828339,0.1507159769207
"1032","44","2","set_navigation",1,"navigating",108.104000091553,1,91.8110001087189,0.8492840230793
"1033","44","2","task_accepted",2,"planning",83.069000005722,1,19.5299999713898,0.235105755095697
"1034","44","2","set_navigation",2,"navigating",83.069000005722,1,63.5390000343323,0.764894244904303
"1035","44","2","task_accepted",3,"planning",71.9029998779297,1,3.74699997901917,0.0521118727366101
"1036","44","2","set_navigation",3,"navigating",71.9029998779297,1,68.1559998989105,0.94788812726339
"1037","44","2","task_accepted",4,"planning",95.7419998645782,1,20.3989999294281,0.213062187527745
"1038","44","2","set_navigation",4,"navigating",95.7419998645782,1,75.3429999351501,0.786937812472255
"1039","44","3","task_accepted",1,"planning",98.1329998970032,1,14.9069998264313,0.151906085028249
"1040","44","3","set_navigation",1,"navigating",98.1329998970032,1,83.2260000705719,0.848093914971751
"1041","44","3","task_accepted",2,"planning",111.964000225067,1,26.7510001659393,0.238925012612672
"1042","44","3","set_navigation",2,"navigating",111.964000225067,1,85.2130000591278,0.761074987387328
"1043","44","3","task_accepted",3,"planning",106.818000078201,1,12.2330000400543,0.114521897349684
"1044","44","3","set_navigation",3,"navigating",106.818000078201,1,94.585000038147,0.885478102650316
"1045","44","3","task_accepted",4,"planning",82.2430000305176,1,15.9400000572205,0.193815887690207
"1046","44","3","set_navigation",4,"navigating",82.2430000305176,1,66.3029999732971,0.806184112309793
"1047","44","4","task_accepted",1,"planning",110.545000076294,1,20.8819999694824,0.18890044737501
"1048","44","4","set_navigation",1,"navigating",110.545000076294,1,89.6630001068115,0.81109955262499
"1049","44","4","task_accepted",2,"planning",87.9449999332428,1,16.1600000858307,0.183751209256892
"1050","44","4","set_navigation",2,"navigating",87.9449999332428,1,71.7849998474121,0.816248790743108
"1051","44","4","task_accepted",3,"planning",67.1760001182556,1,12.683000087738,0.188802549502963
